순번,종목,1급 스포츠지도사(전문체육)_2024년,1급 스포츠지도사(전문체육)_2023년,1급 스포츠지도사(전문체육)_2022년 이전,2급 스포츠지도사(전문체육)_2024년,2급 스포츠지도사(전문체육)_2023년,2급 스포츠지도사(전문체육)_2022년 이전,1급 스포츠지도사(생활체육)_2024년,1급 스포츠지도사(생활체육)_2023년,1급 스포츠지도사(생활체육)_2022년 이전,2급 스포츠지도사(생활체육)_2024년,2급 스포츠지도사(생활체육)_2023년,2급 스포츠지도사(생활체육)_2022년 이전,건강운동관리사_2024년,건강운동관리사_2023년,건강운동관리사_2022년 이전,1급 장애인스포츠지도사_2024년,1급 장애인스포츠지도사_2023년,1급 장애인스포츠지도사_2022년 이전,2급 장애인스포츠지도사_2024년,2급 장애인스포츠지도사_2023년,2급 장애인스포츠지도사_2022년 이전,유소년스포츠지도사_2024년,유소년스포츠지도사_2023년,유소년스포츠지도사_2022년 이전,노인스포츠지도사_2024년,노인스포츠지도사_2023년,노인스포츠지도사_2022년 이전
1,검도,0,0,4,27,36,510,1,1,40,55,66,2168,0,0,0,0,0,0,0,0,0,32,10,124,30,11,99
2,게이트볼,0,0,0,0,0,0,1,2,202,52,53,3746,0,0,0,0,0,0,0,0,0,12,7,131,38,31,507
3,골프,0,0,54,31,37,882,25,32,779,220,572,11304,0,0,0,0,0,0,0,0,0,30,47,174,27,37,147
4,궁도,0,0,6,1,2,122,0,0,0,12,6,142,0,0,0,0,0,0,0,0,0,4,1,13,3,2,10
5,근대5종,0,0,30,20,6,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,농구,0,0,12,68,87,1399,1,0,577,246,274,7007,0,0,0,0,0,10,34,38,291,39,38,424,17,10,145
7,당구,1,0,15,8,10,232,0,2,49,71,91,1013,0,0,0,0,0,0,8,19,18,16,17,28,41,30,110
8,라켓볼,0,0,0,0,0,0,1,0,14,0,1,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,레슬링,0,2,72,30,35,698,1,2,62,35,37,525,0,0,0,0,0,0,0,0,0,10,4,39,4,3,20
10,레크리에이션,0,0,0,0,0,1,0,0,235,82,98,2221,0,0,0,0,0,0,0,0,0,27,32,309,226,204,2376
